action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0052;0.2;0.2144;0.2096;0.1968;0.174
0.0084;0.1964;0.2128;0.2092;0.1988;0.1744
0.0112;0.194;0.218;0.2116;0.1924;0.1728
0.008;0.196;0.2148;0.2144;0.194;0.1728
0.0052;0.1948;0.214;0.214;0.1944;0.1776
0.0136;0.1928;0.2148;0.2132;0.1932;0.1724
0.0052;0.1988;0.2152;0.2172;0.194;0.1696
0.0072;0.1968;0.2156;0.2128;0.1976;0.17
0.0088;0.1964;0.2156;0.214;0.1952;0.17
0.0048;0.198;0.2152;0.212;0.1964;0.1736
0.0076;0.1948;0.2188;0.2124;0.1916;0.1748
0.0068;0.1968;0.212;0.2152;0.1948;0.1744
0.0096;0.1936;0.2152;0.2132;0.198;0.1704
0.0072;0.198;0.212;0.2136;0.1992;0.17
0.0096;0.1948;0.2132;0.216;0.1952;0.1712
0.0084;0.1976;0.214;0.2144;0.196;0.1696
0.0096;0.1996;0.2132;0.2176;0.1908;0.1692
0.008;0.1968;0.2124;0.2156;0.1956;0.1716
0.0076;0.2004;0.2136;0.2148;0.1964;0.1672
0.006;0.1984;0.2148;0.2176;0.1936;0.1696
0.0088;0.1976;0.2128;0.2168;0.1948;0.1692
0.0096;0.1972;0.2128;0.2176;0.1944;0.1684
0.0092;0.1972;0.2132;0.218;0.1952;0.1672
0.008;0.1948;0.2148;0.2188;0.1948;0.1688
0.0104;0.1944;0.2128;0.2176;0.198;0.1668
0.0108;0.1976;0.2144;0.2144;0.1952;0.1676
0.0068;0.1984;0.2152;0.218;0.1952;0.1664
0.0096;0.2016;0.214;0.22;0.1932;0.1616
0.01;0.198;0.2144;0.2212;0.1936;0.1628
0.0088;0.196;0.214;0.22;0.1936;0.1676
0.0088;0.2016;0.2136;0.218;0.1916;0.1664
0.012;0.1976;0.2152;0.2184;0.19;0.1668
0.0068;0.2008;0.2188;0.2172;0.1908;0.1656
0.0072;0.2008;0.2196;0.216;0.1924;0.164
0.0072;0.1964;0.2192;0.2212;0.1916;0.1644
0.008;0.1956;0.2208;0.2184;0.1892;0.168
0.0064;0.2008;0.2188;0.2176;0.1908;0.1656
0.0076;0.2;0.2212;0.2184;0.1884;0.1644
0.0076;0.1976;0.2184;0.2176;0.1916;0.1672
0.0076;0.1964;0.2184;0.218;0.1916;0.168
0.0132;0.1972;0.216;0.216;0.1912;0.1664
0.0064;0.198;0.2172;0.2204;0.1892;0.1688
0.0068;0.1944;0.216;0.22;0.1928;0.17
0.008;0.1944;0.2172;0.2192;0.192;0.1692
0.0088;0.1968;0.2156;0.2192;0.1932;0.1664
0.0084;0.1984;0.2172;0.2224;0.1916;0.162
0.008;0.1988;0.216;0.2196;0.1892;0.1684
0.008;0.198;0.2148;0.222;0.1904;0.1668
0.008;0.1976;0.2136;0.2236;0.1896;0.1676
0.008;0.1928;0.2188;0.222;0.1924;0.166
0.0084;0.1976;0.2164;0.2228;0.1904;0.1644
0.0036;0.1956;0.2184;0.2236;0.1916;0.1672
0.0056;0.198;0.214;0.2224;0.1936;0.1664
0.0084;0.1936;0.2192;0.22;0.1936;0.1652
0.0056;0.1932;0.2152;0.2232;0.1948;0.168
0.006;0.198;0.2164;0.2216;0.1936;0.1644
0.0092;0.1888;0.2156;0.2228;0.1964;0.1672
0.0068;0.192;0.2152;0.2236;0.1944;0.168
0.0092;0.19;0.2172;0.2232;0.1952;0.1652
0.0108;0.1936;0.2136;0.2228;0.1932;0.166
0.0076;0.1912;0.2208;0.2248;0.194;0.1616
0.0064;0.1896;0.2196;0.222;0.1968;0.1656
0.0092;0.192;0.2176;0.2232;0.1948;0.1632
0.01;0.1884;0.2172;0.222;0.1956;0.1668
0.0072;0.1908;0.22;0.2264;0.1928;0.1628
0.01;0.1876;0.2176;0.2224;0.1948;0.1676
0.008;0.1904;0.2212;0.2236;0.1944;0.1624
0.008;0.1888;0.218;0.2232;0.1984;0.1636
0.0088;0.19;0.2176;0.222;0.196;0.1656
0.0076;0.1876;0.2192;0.2252;0.1976;0.1628
0.0084;0.1888;0.222;0.222;0.196;0.1628
0.012;0.19;0.2204;0.2224;0.194;0.1612
0.008;0.1884;0.2156;0.2228;0.2012;0.164
0.0088;0.1932;0.2172;0.2192;0.1984;0.1632
0.0072;0.1892;0.214;0.2224;0.2;0.1672
0.0112;0.188;0.2148;0.2192;0.202;0.1648
0.0096;0.1876;0.2156;0.224;0.1968;0.1664
0.0076;0.1872;0.2112;0.2288;0.202;0.1632
0.0064;0.1912;0.2128;0.2288;0.1976;0.1632
0.0052;0.1912;0.2124;0.2272;0.2008;0.1632
0.0076;0.1908;0.2144;0.226;0.2004;0.1608
0.0084;0.19;0.2136;0.2244;0.2024;0.1612
0.0108;0.1916;0.2136;0.2264;0.1992;0.1584
0.0112;0.1904;0.2112;0.2252;0.1996;0.1624
0.0076;0.1912;0.2144;0.2252;0.196;0.1656
0.0064;0.1936;0.2196;0.2232;0.1948;0.1624
0.008;0.1952;0.2156;0.2248;0.198;0.1584
0.0108;0.1908;0.218;0.224;0.1944;0.162
0.0084;0.1928;0.2148;0.2272;0.1972;0.1596
0.01;0.1928;0.218;0.2232;0.196;0.16
0.0088;0.1892;0.2172;0.2276;0.1956;0.1616
0.012;0.1892;0.2172;0.23;0.192;0.1596
0.014;0.1864;0.2144;0.2296;0.1932;0.1624
0.01;0.1884;0.2152;0.2296;0.1956;0.1612
0.0096;0.1872;0.2208;0.2284;0.1976;0.1564
0.0084;0.19;0.2148;0.2332;0.1976;0.156
0.0088;0.1916;0.2176;0.2288;0.1936;0.1596
0.008;0.1904;0.2168;0.2292;0.1968;0.1588
0.01;0.1884;0.2168;0.228;0.1948;0.162
0.0132;0.1908;0.214;0.2276;0.1948;0.1596
0.0112;0.1904;0.2116;0.2296;0.194;0.1632
0.0092;0.1908;0.2124;0.2296;0.1972;0.1608
0.0096;0.192;0.2136;0.2288;0.1928;0.1632
0.0112;0.1908;0.2168;0.2272;0.1932;0.1608
0.0076;0.1924;0.21;0.2336;0.1944;0.162
0.0052;0.1924;0.2172;0.2344;0.1928;0.158
0.0092;0.1908;0.2132;0.2348;0.1896;0.1624
0.0108;0.194;0.2156;0.2312;0.1904;0.158
0.0108;0.1892;0.2148;0.232;0.1936;0.1596
0.01;0.1948;0.2136;0.2312;0.19;0.1604
0.0104;0.1896;0.2136;0.2348;0.1932;0.1584
0.0084;0.19;0.2168;0.2344;0.1912;0.1592
0.0096;0.1924;0.2152;0.2352;0.19;0.1576
0.0088;0.188;0.2128;0.2356;0.1944;0.1604
0.0068;0.1976;0.212;0.2344;0.1908;0.1584
0.0108;0.1928;0.2128;0.2356;0.19;0.158
0.008;0.1952;0.2112;0.2376;0.1884;0.1596
0.0112;0.1932;0.2128;0.2328;0.1924;0.1576
0.008;0.196;0.214;0.2388;0.1892;0.154
0.0092;0.1988;0.208;0.2376;0.1888;0.1576
0.0116;0.1944;0.2128;0.2372;0.1872;0.1568
0.0108;0.1956;0.2096;0.238;0.1908;0.1552
0.0104;0.196;0.2136;0.2364;0.1872;0.1564
0.0096;0.1964;0.2116;0.2384;0.1872;0.1568
0.0088;0.1944;0.2104;0.2392;0.188;0.1592
0.008;0.198;0.2152;0.2388;0.1888;0.1512
0.0072;0.1968;0.214;0.2388;0.1872;0.156
0.0144;0.1948;0.2108;0.2388;0.1896;0.1516
0.0064;0.192;0.2144;0.2424;0.1912;0.1536
0.0108;0.1928;0.2152;0.2396;0.1884;0.1532
0.0116;0.194;0.2168;0.2388;0.188;0.1508
0.0104;0.2;0.2132;0.238;0.1876;0.1508
0.0108;0.194;0.21;0.2416;0.1888;0.1548
0.0112;0.1924;0.2112;0.2444;0.1868;0.154
0.0112;0.1912;0.2124;0.2432;0.1868;0.1552
0.0108;0.1956;0.212;0.242;0.188;0.1516
0.0104;0.1928;0.212;0.242;0.188;0.1548
0.0116;0.1904;0.2124;0.2444;0.1872;0.154
0.0104;0.192;0.2132;0.24;0.1892;0.1552
0.0112;0.1936;0.2112;0.2376;0.1892;0.1572
0.01;0.1916;0.2132;0.2404;0.188;0.1568
0.0092;0.1936;0.2092;0.2416;0.192;0.1544
0.01;0.19;0.21;0.2456;0.1896;0.1548
0.0064;0.1904;0.2124;0.2424;0.1912;0.1572
0.0064;0.1948;0.2108;0.2404;0.1896;0.158
0.0088;0.1924;0.212;0.2408;0.1896;0.1564
0.0068;0.1916;0.21;0.242;0.1896;0.16
0.0064;0.1932;0.2092;0.2436;0.1908;0.1568
0.0084;0.1888;0.21;0.2404;0.1924;0.16
0.0092;0.1884;0.2088;0.244;0.1916;0.158
0.0072;0.1876;0.212;0.2476;0.1924;0.1532
0.0104;0.1924;0.2136;0.242;0.1884;0.1532
0.0096;0.1892;0.2136;0.2408;0.1888;0.158
0.0064;0.19;0.2108;0.2448;0.1896;0.1584
