action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0196;0.1792;0.2152;0.2508;0.162;0.1732
0.0096;0.1784;0.214;0.2604;0.1668;0.1708
0.0152;0.1824;0.208;0.2576;0.164;0.1728
0.0156;0.1788;0.2092;0.26;0.1696;0.1668
0.016;0.1764;0.2056;0.2592;0.174;0.1688
0.0136;0.1784;0.2156;0.2592;0.1672;0.166
0.0144;0.176;0.2176;0.2576;0.17;0.1644
0.0156;0.1752;0.2136;0.26;0.17;0.1656
0.0148;0.18;0.2168;0.2604;0.1676;0.1604
0.0164;0.1756;0.2156;0.2624;0.1696;0.1604
0.0136;0.1756;0.2172;0.2604;0.17;0.1632
0.0156;0.1756;0.2164;0.2652;0.1652;0.162
0.0116;0.1848;0.2184;0.262;0.166;0.1572
0.0132;0.1768;0.218;0.2648;0.1652;0.162
0.012;0.1756;0.2216;0.2616;0.168;0.1612
0.0152;0.1764;0.2156;0.2692;0.1644;0.1592
0.0172;0.1784;0.2164;0.2672;0.1616;0.1592
0.0172;0.1784;0.2224;0.2672;0.1588;0.156
0.0164;0.1836;0.2176;0.2704;0.1624;0.1496
0.0164;0.1824;0.22;0.266;0.1596;0.1556
0.014;0.1792;0.2176;0.274;0.1628;0.1524
0.016;0.1768;0.2164;0.2744;0.1656;0.1508
0.0136;0.1816;0.2164;0.2728;0.1636;0.152
0.02;0.176;0.2192;0.2684;0.1676;0.1488
0.0136;0.1816;0.2176;0.272;0.1596;0.1556
0.0148;0.1784;0.2208;0.2712;0.162;0.1528
0.0128;0.178;0.2216;0.2712;0.1676;0.1488
0.0156;0.1776;0.2168;0.2688;0.1672;0.154
0.0164;0.1768;0.2184;0.274;0.162;0.1524
0.0164;0.1764;0.2176;0.2764;0.1656;0.1476
0.0212;0.176;0.222;0.274;0.1604;0.1464
0.018;0.1728;0.2188;0.2788;0.164;0.1476
0.0112;0.1788;0.2212;0.2812;0.16;0.1476
0.0168;0.1744;0.2188;0.2792;0.1644;0.1464
0.016;0.178;0.214;0.2812;0.1596;0.1512
0.0156;0.18;0.2212;0.2796;0.1596;0.144
0.02;0.1776;0.2184;0.2844;0.1608;0.1388
0.0188;0.1764;0.218;0.278;0.1628;0.146
0.0128;0.1776;0.2156;0.2808;0.1656;0.1476
0.0124;0.1792;0.224;0.2748;0.1604;0.1492
0.0168;0.1776;0.218;0.284;0.16;0.1436
0.0216;0.1784;0.218;0.2764;0.1616;0.144
0.0172;0.1804;0.2172;0.2744;0.162;0.1488
0.0188;0.1728;0.2176;0.2816;0.1628;0.1464
0.0176;0.1752;0.2168;0.2832;0.166;0.1412
0.018;0.1792;0.2156;0.2848;0.1608;0.1416
