C = 3;C = 5;C = 8
5.44000;12.68000;23.52000
5.12000;11.80000;23.40000
5.60000;11.16000;24.04000
6.32000;11.04000;22.88000
5.88000;10.48000;23.00000
5.64000;11.48000;22.68000
5.28000;10.12000;22.64000
5.40000;9.72000;23.36000
5.08000;10.00000;24.20000
5.68000;10.76000;22.12000
5.84000;11.40000;22.28000
5.68000;11.28000;23.00000
5.16000;11.28000;22.80000
5.76000;11.24000;23.92000
5.72000;11.04000;22.96000
5.80000;11.16000;22.56000
6.20000;11.44000;23.20000
6.12000;11.64000;24.16000
6.52000;11.76000;24.20000
6.32000;10.72000;22.76000
6.64000;12.24000;22.84000
6.44000;13.00000;22.76000
6.28000;12.36000;22.00000
6.04000;13.44000;23.28000
6.20000;12.92000;22.40000
6.44000;12.00000;21.92000
6.28000;12.00000;22.00000
6.12000;11.96000;23.52000
6.12000;11.84000;23.12000
5.96000;11.28000;22.72000
6.24000;11.32000;22.76000
6.24000;11.48000;23.28000
6.76000;11.08000;23.04000
5.84000;11.48000;21.16000
6.36000;11.32000;22.60000
6.28000;10.32000;22.44000
6.92000;10.40000;23.32000
7.08000;10.00000;23.20000
6.96000;11.12000;24.52000
6.56000;11.76000;23.20000
5.80000;11.48000;24.12000
6.56000;11.32000;22.72000
6.64000;11.44000;22.92000
6.76000;12.12000;22.32000
6.28000;12.00000;23.48000
5.96000;12.48000;22.36000
6.24000;11.88000;22.44000
6.48000;12.48000;21.96000
6.56000;12.64000;21.76000
6.16000;12.04000;23.00000
6.36000;11.92000;23.96000
6.16000;12.36000;23.60000
6.48000;11.72000;23.88000
6.68000;12.04000;23.12000
6.80000;12.08000;23.08000
6.40000;11.24000;22.64000
6.48000;12.20000;23.00000
6.56000;11.88000;22.56000
6.80000;12.36000;23.92000
6.60000;11.52000;23.20000
6.64000;10.96000;23.36000
6.56000;10.84000;23.00000
6.48000;11.04000;23.68000
6.48000;10.80000;23.36000
6.36000;10.88000;23.40000
6.32000;11.52000;22.84000
6.64000;11.00000;22.88000
6.44000;11.08000;22.96000
6.00000;11.32000;23.56000
6.04000;11.64000;22.44000
6.64000;11.20000;21.72000
5.80000;11.60000;21.80000
5.20000;11.40000;22.60000
4.84000;10.88000;22.72000
4.68000;11.36000;22.68000
4.96000;9.72000;23.12000
4.92000;10.00000;22.36000
5.12000;10.36000;22.68000
4.80000;10.24000;22.60000
5.28000;10.40000;22.28000
4.96000;10.36000;22.48000
5.00000;10.88000;23.00000
5.04000;11.28000;24.16000
4.96000;11.56000;24.24000
5.92000;12.24000;22.60000
6.24000;12.28000;23.04000
5.84000;11.08000;22.64000
5.56000;10.72000;22.64000
5.80000;10.76000;23.56000
6.08000;11.20000;22.80000
6.52000;11.96000;23.28000
5.72000;12.00000;24.36000
5.80000;12.28000;22.96000
5.92000;11.96000;23.72000
6.04000;12.00000;22.68000
5.64000;12.32000;23.16000
5.64000;11.68000;22.76000
5.96000;11.88000;23.36000
5.84000;11.80000;22.84000
6.04000;12.16000;23.32000
5.64000;12.08000;23.72000
5.40000;10.48000;23.48000
5.72000;11.20000;23.04000
5.68000;10.84000;22.84000
5.96000;11.08000;23.24000
6.24000;11.56000;23.00000
5.88000;10.96000;23.64000
6.08000;10.76000;23.32000
6.12000;11.60000;22.36000
6.40000;12.20000;22.44000
6.04000;11.88000;22.60000
6.60000;11.32000;22.76000
6.20000;12.28000;22.80000
5.68000;11.12000;23.76000
5.96000;12.00000;23.00000
6.16000;12.48000;22.08000
5.84000;12.88000;22.52000
5.56000;12.32000;22.04000
5.68000;12.96000;22.36000
5.64000;12.52000;22.96000
6.08000;12.60000;22.96000
6.08000;12.80000;22.24000
6.00000;12.76000;22.72000
