action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0428;0.1572;0.2128;0.244;0.1868;0.1564
0.0428;0.1496;0.2152;0.2504;0.1892;0.1528
0.0356;0.16;0.2164;0.2428;0.1848;0.1604
0.0448;0.1544;0.2184;0.2388;0.1872;0.1564
0.0412;0.15;0.2184;0.2468;0.1872;0.1564
0.0392;0.152;0.222;0.2456;0.1836;0.1576
0.0448;0.1516;0.222;0.2404;0.1884;0.1528
0.0468;0.1504;0.2216;0.2408;0.188;0.1524
0.0432;0.1576;0.2112;0.2428;0.184;0.1612
0.048;0.1604;0.2196;0.2384;0.1844;0.1492
0.0384;0.1572;0.2184;0.244;0.1908;0.1512
0.0448;0.1576;0.2184;0.238;0.1828;0.1584
0.0432;0.1532;0.2256;0.2416;0.1888;0.1476
0.0444;0.1596;0.2136;0.2488;0.1848;0.1488
0.0416;0.1592;0.2128;0.24;0.1908;0.1556
0.0404;0.154;0.216;0.2452;0.1888;0.1556
0.0372;0.1556;0.2204;0.24;0.192;0.1548
0.0348;0.16;0.2164;0.2392;0.1952;0.1544
0.0412;0.1584;0.2188;0.2376;0.1912;0.1528
0.042;0.1584;0.222;0.2464;0.1816;0.1496
0.0392;0.1568;0.2168;0.2436;0.1968;0.1468
0.034;0.1584;0.22;0.2392;0.1912;0.1572
0.038;0.1532;0.214;0.2424;0.1956;0.1568
0.0404;0.1556;0.214;0.2444;0.1948;0.1508
0.0416;0.1532;0.2088;0.2488;0.1948;0.1528
0.046;0.156;0.2088;0.2432;0.192;0.154
0.0424;0.154;0.2136;0.248;0.1892;0.1528
0.0404;0.1548;0.2104;0.2472;0.1972;0.15
0.0396;0.16;0.2168;0.2476;0.1932;0.1428
0.0372;0.154;0.2164;0.2432;0.196;0.1532
0.042;0.15;0.2104;0.2448;0.1984;0.1544
0.05;0.1512;0.2196;0.2432;0.1936;0.1424
0.0376;0.152;0.2124;0.2476;0.198;0.1524
0.0468;0.1508;0.2012;0.248;0.19;0.1632
0.0416;0.1472;0.208;0.2492;0.2;0.154
0.048;0.154;0.2104;0.24;0.194;0.1536
0.0428;0.1524;0.2172;0.2452;0.1924;0.15
0.046;0.1636;0.2116;0.2316;0.1944;0.1528
0.0424;0.1528;0.2148;0.2388;0.2004;0.1508
0.0428;0.158;0.2108;0.2404;0.194;0.154
0.0436;0.1512;0.212;0.2476;0.1996;0.146
0.0456;0.1464;0.22;0.2448;0.1928;0.1504
0.0456;0.1496;0.21;0.2412;0.2064;0.1472
0.048;0.1448;0.212;0.2428;0.2016;0.1508
0.0432;0.1516;0.2204;0.242;0.2004;0.1424
0.0436;0.1536;0.22;0.2436;0.1988;0.1404
0.0416;0.1484;0.2148;0.2472;0.2036;0.1444
0.0412;0.1512;0.2108;0.25;0.1968;0.15
0.0428;0.1484;0.214;0.2508;0.1996;0.1444
0.0428;0.146;0.216;0.2428;0.1992;0.1532
0.0448;0.1564;0.214;0.244;0.194;0.1468
0.0436;0.1548;0.2124;0.2484;0.1972;0.1436
0.0424;0.1536;0.2224;0.2492;0.1896;0.1428
0.0464;0.1528;0.2224;0.2492;0.1928;0.1364
0.0544;0.1524;0.2124;0.244;0.1956;0.1412
0.0496;0.146;0.2192;0.2452;0.1944;0.1456
0.0408;0.1516;0.2216;0.2468;0.1948;0.1444
0.0508;0.1492;0.2176;0.2432;0.196;0.1432
0.0436;0.1504;0.2192;0.25;0.198;0.1388
0.0512;0.1564;0.2128;0.2432;0.19;0.1464
0.0488;0.1504;0.224;0.2444;0.1868;0.1456
0.046;0.1472;0.2292;0.2456;0.192;0.14
0.0452;0.1524;0.2168;0.2412;0.1944;0.15
0.0464;0.1472;0.2184;0.2524;0.1972;0.1384
0.0496;0.1528;0.2092;0.2504;0.1936;0.1444
0.044;0.1472;0.2128;0.2564;0.1984;0.1412
0.044;0.1464;0.2164;0.2544;0.2004;0.1384
0.046;0.1472;0.2056;0.2544;0.1976;0.1492
0.0452;0.1448;0.2124;0.2496;0.198;0.15
0.0516;0.1528;0.2088;0.2508;0.19;0.146
0.0508;0.1476;0.2068;0.2552;0.1984;0.1412
0.0464;0.1536;0.2084;0.2556;0.1988;0.1372
0.044;0.148;0.2088;0.2532;0.2016;0.1444
0.0508;0.1472;0.2172;0.2436;0.1944;0.1468
0.0424;0.1492;0.2196;0.2508;0.198;0.14
0.0464;0.1492;0.214;0.2452;0.2012;0.144
0.0516;0.1388;0.2108;0.2516;0.206;0.1412
0.0512;0.152;0.2056;0.2556;0.1916;0.144
0.05;0.1452;0.2128;0.2508;0.2;0.1412
0.0432;0.1532;0.2176;0.2552;0.1912;0.1396
0.056;0.1444;0.2056;0.2452;0.2;0.1488
0.0464;0.1448;0.2172;0.2496;0.1964;0.1456
0.042;0.1448;0.2224;0.2464;0.2032;0.1412
0.0424;0.1492;0.2188;0.246;0.1964;0.1472
0.0476;0.1508;0.2112;0.246;0.1964;0.148
0.0504;0.1476;0.2192;0.2432;0.194;0.1456
0.0496;0.1348;0.2228;0.2468;0.2028;0.1432
0.0404;0.1448;0.2224;0.2548;0.196;0.1416
0.0456;0.1448;0.2176;0.2484;0.206;0.1376
0.0448;0.1432;0.2212;0.246;0.2032;0.1416
0.0504;0.1448;0.218;0.2436;0.1988;0.1444
0.0476;0.14;0.2184;0.2472;0.2012;0.1456
0.0436;0.1436;0.2168;0.2476;0.2056;0.1428
0.0456;0.1408;0.2276;0.248;0.1936;0.1444
0.0396;0.1404;0.2252;0.2424;0.2024;0.15
0.0548;0.142;0.2176;0.2432;0.1996;0.1428
0.046;0.1456;0.2184;0.2424;0.2064;0.1412
0.0492;0.1472;0.2164;0.244;0.1968;0.1464
0.0472;0.1388;0.224;0.2444;0.1932;0.1524
0.0368;0.1396;0.23;0.2536;0.196;0.144
0.0428;0.132;0.224;0.2484;0.2012;0.1516
0.0436;0.1352;0.22;0.2548;0.2004;0.146
0.0492;0.1316;0.2308;0.2476;0.2012;0.1396
0.0464;0.1296;0.2392;0.2456;0.2016;0.1376
0.0472;0.14;0.222;0.252;0.2012;0.1376
0.0436;0.14;0.2232;0.2508;0.2012;0.1412
0.0432;0.1428;0.2316;0.2444;0.1976;0.1404
0.042;0.1392;0.2216;0.25;0.2076;0.1396
0.05;0.1336;0.2192;0.2548;0.2036;0.1388
0.0396;0.1432;0.2224;0.2548;0.204;0.136
0.0488;0.1304;0.2368;0.2412;0.2028;0.14
0.0432;0.138;0.2204;0.252;0.2108;0.1356
0.0524;0.1328;0.2244;0.2464;0.2008;0.1432
0.042;0.1384;0.224;0.2496;0.2032;0.1428
0.0484;0.1312;0.224;0.2488;0.21;0.1376
0.0448;0.1412;0.2248;0.238;0.212;0.1392
0.0488;0.1336;0.218;0.2496;0.2048;0.1452
0.0456;0.138;0.2248;0.2436;0.2108;0.1372
0.0492;0.1396;0.2192;0.2484;0.2088;0.1348
0.052;0.1296;0.2252;0.2412;0.2168;0.1352
0.0476;0.1392;0.2212;0.24;0.206;0.146
0.052;0.144;0.2148;0.2396;0.21;0.1396
0.0424;0.1356;0.2176;0.248;0.2084;0.148
0.0472;0.1444;0.2196;0.2452;0.202;0.1416
0.048;0.1376;0.22;0.248;0.206;0.1404
0.0536;0.1352;0.222;0.248;0.2052;0.136
0.0408;0.1472;0.2204;0.2384;0.2124;0.1408
0.0544;0.1332;0.2224;0.2512;0.2076;0.1312
0.0496;0.1376;0.2284;0.2492;0.2012;0.134
0.0432;0.1368;0.228;0.2504;0.2132;0.1284
0.0464;0.1456;0.2224;0.2444;0.2048;0.1364
0.0468;0.138;0.2252;0.2484;0.2032;0.1384
0.044;0.1368;0.2288;0.2472;0.21;0.1332
0.0532;0.1344;0.2184;0.246;0.2076;0.1404
0.0528;0.1364;0.224;0.2468;0.2124;0.1276
0.04;0.142;0.2244;0.2508;0.2116;0.1312
0.0552;0.1348;0.2196;0.2488;0.2064;0.1352
0.0404;0.146;0.2256;0.2516;0.204;0.1324
0.0524;0.1268;0.226;0.2432;0.2108;0.1408
0.0508;0.1368;0.2196;0.2544;0.2012;0.1372
0.0524;0.128;0.2192;0.2564;0.2128;0.1312
0.0412;0.1412;0.2244;0.2524;0.2116;0.1292
0.0516;0.132;0.2196;0.2556;0.2112;0.13
0.0496;0.1352;0.2212;0.252;0.2108;0.1312
0.0456;0.1352;0.2272;0.2528;0.2076;0.1316
0.0424;0.1364;0.2196;0.2596;0.204;0.138
0.0472;0.1344;0.2224;0.2512;0.208;0.1368
0.0448;0.136;0.226;0.2496;0.206;0.1376
0.0488;0.1388;0.2256;0.2516;0.2036;0.1316
0.046;0.128;0.2252;0.2544;0.2076;0.1388
0.0524;0.1248;0.224;0.2544;0.2144;0.13
0.046;0.1296;0.2144;0.258;0.2072;0.1448
0.0376;0.1328;0.2152;0.2652;0.2068;0.1424
0.0452;0.1216;0.2228;0.27;0.2036;0.1368
0.0448;0.1332;0.2156;0.26;0.2064;0.14
0.054;0.1292;0.2244;0.2604;0.1996;0.1324
0.0456;0.1336;0.2216;0.2584;0.2008;0.14
0.0584;0.1312;0.2148;0.2612;0.1964;0.138
0.0424;0.1324;0.222;0.26;0.2052;0.138
0.0456;0.1324;0.2132;0.2604;0.2028;0.1456
0.044;0.1356;0.2172;0.2612;0.1992;0.1428
0.0504;0.1324;0.214;0.2496;0.21;0.1436
0.0532;0.1344;0.2064;0.2588;0.2076;0.1396
0.0464;0.1364;0.2096;0.2548;0.216;0.1368
0.0456;0.1328;0.2148;0.2564;0.2044;0.146
0.0556;0.1364;0.2068;0.252;0.21;0.1392
0.0472;0.1388;0.2092;0.2552;0.2092;0.1404
0.0468;0.134;0.2076;0.2564;0.2168;0.1384
0.0432;0.1272;0.2116;0.264;0.212;0.142
0.0472;0.1276;0.2168;0.2588;0.2084;0.1412
0.0444;0.13;0.2152;0.2576;0.2148;0.138
0.052;0.1304;0.2128;0.2604;0.2132;0.1312
0.0492;0.1284;0.2152;0.26;0.2104;0.1368
0.0512;0.1292;0.2132;0.2576;0.2168;0.132
0.0428;0.1348;0.2096;0.2628;0.2104;0.1396
0.0504;0.1312;0.2112;0.2604;0.2148;0.132
0.0512;0.1228;0.214;0.268;0.2116;0.1324
0.052;0.1244;0.2072;0.2608;0.2168;0.1388
0.0528;0.1312;0.2088;0.2644;0.21;0.1328
0.0464;0.122;0.2204;0.2616;0.2192;0.1304
0.0576;0.1268;0.2048;0.266;0.2092;0.1356
0.044;0.1396;0.2044;0.268;0.208;0.136
0.0456;0.1324;0.2104;0.27;0.2076;0.134
0.0492;0.128;0.2108;0.2592;0.2092;0.1436
0.054;0.1264;0.2116;0.264;0.2064;0.1376
0.0464;0.1244;0.2168;0.2716;0.2008;0.14
0.0516;0.1396;0.2096;0.2568;0.204;0.1384
0.0496;0.1404;0.218;0.258;0.1976;0.1364
0.0496;0.1428;0.2148;0.2624;0.1972;0.1332
0.0576;0.1368;0.2148;0.2592;0.2024;0.1292
0.0436;0.1276;0.224;0.2704;0.202;0.1324
0.0512;0.1272;0.2208;0.2684;0.1972;0.1352
0.0536;0.1284;0.2152;0.2652;0.1996;0.138
0.05;0.1364;0.2192;0.2664;0.1948;0.1332
0.0556;0.1256;0.2212;0.266;0.2008;0.1308
0.0508;0.1248;0.2188;0.2716;0.2024;0.1316
0.0496;0.1312;0.2164;0.258;0.2084;0.1364
0.054;0.1284;0.2168;0.2644;0.2048;0.1316
0.0508;0.1316;0.2168;0.2672;0.2032;0.1304
0.0536;0.1316;0.2244;0.2612;0.1952;0.134
0.0576;0.1328;0.2216;0.262;0.1944;0.1316
0.0452;0.1332;0.2236;0.2676;0.202;0.1284
0.0452;0.1324;0.2268;0.2636;0.2068;0.1252
0.052;0.1356;0.2204;0.2596;0.2048;0.1276
0.0464;0.1416;0.2268;0.2592;0.2004;0.1256
0.0568;0.1396;0.2208;0.2588;0.2008;0.1232
0.0404;0.1412;0.224;0.2628;0.2012;0.1304
0.0532;0.1324;0.22;0.2668;0.2036;0.124
0.0504;0.1376;0.2232;0.274;0.192;0.1228
0.0408;0.1396;0.224;0.2728;0.1908;0.132
0.0572;0.1356;0.2172;0.2624;0.2032;0.1244
0.0524;0.1292;0.224;0.2676;0.2;0.1268
0.046;0.1372;0.2284;0.2636;0.1992;0.1256
0.0492;0.1344;0.2364;0.2672;0.188;0.1248
0.0468;0.1376;0.22;0.2728;0.1912;0.1316
0.0472;0.1424;0.2204;0.264;0.1852;0.1408
0.0552;0.1336;0.222;0.2776;0.1872;0.1244
0.0476;0.1388;0.2256;0.272;0.1912;0.1248
0.0568;0.1288;0.222;0.2712;0.1956;0.1256
0.0528;0.1352;0.2228;0.2616;0.1956;0.132
0.0484;0.1376;0.2236;0.2736;0.1932;0.1236
0.0528;0.1344;0.2248;0.2676;0.1956;0.1248
0.0532;0.1296;0.2188;0.2716;0.1912;0.1356
0.0516;0.1372;0.2204;0.2652;0.1968;0.1288
0.0544;0.1352;0.2164;0.2688;0.1932;0.132
0.0408;0.134;0.2168;0.278;0.2;0.1304
0.0488;0.1512;0.2224;0.2588;0.192;0.1268
0.0436;0.14;0.2164;0.2664;0.1992;0.1344
0.0536;0.1396;0.2092;0.2648;0.2012;0.1316
0.0552;0.1468;0.2108;0.272;0.1948;0.1204
0.0508;0.1456;0.2068;0.2724;0.1964;0.128
0.0472;0.1364;0.2124;0.2772;0.196;0.1308
0.0472;0.1412;0.2128;0.2724;0.1984;0.128
0.0448;0.1424;0.2012;0.2776;0.2028;0.1312
0.0436;0.1392;0.216;0.2668;0.2048;0.1296
