action = 0;action = 180
0.5004;0.4996
0.2576;0.742400000000001
0.2592;0.740800000000001
0.1948;0.805200000000001
0.2136;0.7864
0.1756;0.8244
0.1744;0.8256
0.162;0.838000000000001
0.1616;0.8384
0.1432;0.8568
0.154;0.846000000000001
0.1612;0.8388
0.1464;0.853600000000001
0.14;0.860000000000001
0.1296;0.870400000000001
0.128;0.872000000000001
0.1212;0.878800000000001
0.1304;0.8696
0.1212;0.878800000000001
0.1208;0.879200000000001
0.114;0.886000000000001
0.1204;0.8796
0.1228;0.877200000000001
0.1112;0.888800000000001
0.1016;0.898400000000001
0.1056;0.894400000000001
0.0988;0.901200000000001
0.0936;0.906400000000001
0.0932;0.906800000000001
0.0948;0.905200000000001
0.0948;0.9052
0.0856;0.914400000000001
0.0852;0.914800000000001
0.0924;0.907600000000001
0.0812;0.918800000000001
0.0856;0.914400000000001
0.084;0.916000000000001
0.0812;0.918800000000001
0.0804;0.919600000000001
0.072;0.928000000000001
0.0628;0.937200000000001
0.0724;0.927600000000001
0.0636;0.936400000000001
0.0672;0.932800000000001
0.0684;0.931600000000001
0.0664;0.933600000000001
0.0676;0.932400000000001
0.0672;0.932800000000001
0.0652;0.934800000000001
0.0624;0.937600000000001
0.062;0.938000000000001
0.0652;0.934800000000001
0.0612;0.938800000000001
0.0584;0.941600000000001
0.0588;0.9412
0.0572;0.942800000000001
0.058;0.942000000000001
0.0572;0.9428
0.0604;0.939600000000001
0.052;0.948000000000001
0.0552;0.944800000000001
0.0484;0.951600000000001
0.0516;0.948400000000001
0.0552;0.9448
0.0508;0.949200000000001
0.0468;0.953200000000001
0.05;0.950000000000001
0.0516;0.948400000000001
0.0512;0.948800000000001
0.0448;0.955200000000001
0.0588;0.941200000000001
0.0504;0.949600000000001
0.0488;0.951200000000001
0.0468;0.9532
0.046;0.954000000000001
0.0468;0.953200000000001
0.0472;0.952800000000001
0.044;0.956000000000001
0.0508;0.949200000000001
0.046;0.954000000000001
0.046;0.954000000000001
0.0456;0.954400000000001
0.0492;0.9508
0.0532;0.946800000000001
0.0484;0.951600000000001
0.0444;0.955600000000001
0.054;0.946000000000001
0.0416;0.958400000000001
0.0444;0.955600000000001
0.0456;0.954400000000001
0.0504;0.949600000000001
0.0544;0.945600000000001
0.0432;0.956800000000001
0.0468;0.953200000000001
0.0436;0.956400000000001
0.046;0.954000000000001
0.046;0.954000000000001
0.0512;0.948800000000001
0.0492;0.950800000000001
0.048;0.952000000000001
0.052;0.948000000000001
0.0456;0.954400000000001
0.0476;0.952400000000001
0.0472;0.952800000000001
0.0528;0.947200000000001
0.0436;0.956400000000001
0.0452;0.9548
0.0464;0.953600000000001
0.0464;0.953600000000001
0.0476;0.952400000000001
0.0468;0.953200000000001
0.0556;0.944400000000001
0.0504;0.949600000000001
0.0528;0.947200000000001
0.0484;0.951600000000001
0.042;0.958000000000001
0.046;0.954000000000001
0.0444;0.955600000000001
0.0452;0.954800000000001
0.0468;0.953200000000001
0.0488;0.951200000000001
0.0524;0.947600000000001
0.0484;0.951600000000001
0.0436;0.956400000000001
0.0504;0.949600000000001
0.0472;0.952800000000001
0.054;0.946000000000001
0.0532;0.946800000000001
0.0484;0.951600000000001
0.0504;0.949600000000001
0.0584;0.941600000000001
0.0544;0.945600000000001
0.0552;0.944800000000001
0.0492;0.950800000000001
0.0532;0.946800000000001
0.0468;0.953200000000001
0.0572;0.942800000000001
0.0504;0.949600000000001
0.0436;0.956400000000001
0.0476;0.952400000000001
0.0516;0.948400000000001
0.0496;0.950400000000001
0.048;0.952000000000001
0.0456;0.954400000000001
0.0504;0.949600000000001
0.0464;0.953600000000001
0.0568;0.943200000000001
0.0532;0.946800000000001
0.0488;0.951200000000001
0.0496;0.950400000000001
0.0528;0.947200000000001
0.048;0.952000000000001
0.0512;0.948800000000001
0.0484;0.9516
0.0572;0.942800000000001
0.0524;0.947600000000001
0.0572;0.942800000000001
0.052;0.948000000000001
0.0544;0.9456
0.0468;0.953200000000001
0.0524;0.947600000000001
0.0524;0.947600000000001
0.054;0.946000000000001
0.0524;0.947600000000001
0.0568;0.943200000000001
0.0552;0.944800000000001
0.0464;0.953600000000001
0.0496;0.950400000000001
0.0508;0.949200000000001
0.052;0.948000000000001
0.052;0.948000000000001
0.052;0.948000000000001
0.0556;0.944400000000001
0.0508;0.9492
0.0496;0.9504
0.0492;0.950800000000001
0.0492;0.950800000000001
0.0488;0.951200000000001
0.0544;0.945600000000001
0.048;0.952000000000001
0.0492;0.950800000000001
0.0532;0.946800000000001
0.054;0.946000000000001
0.0576;0.942400000000001
0.0552;0.944800000000001
0.054;0.946000000000001
0.0464;0.953600000000001
0.05;0.950000000000001
0.0528;0.947200000000001
0.0556;0.944400000000001
0.0548;0.945200000000001
0.052;0.948000000000001
0.0532;0.946800000000001
0.054;0.946000000000001
0.0552;0.944800000000001
0.0548;0.945200000000001
0.0544;0.945600000000001
0.0528;0.947200000000001
0.0572;0.942800000000001
0.0512;0.948800000000001
0.0568;0.943200000000001
0.0516;0.948400000000001
0.0576;0.942400000000001
0.0512;0.948800000000001
0.0584;0.941600000000001
0.0504;0.949600000000001
0.0584;0.941600000000001
0.0464;0.953600000000001
0.0568;0.943200000000001
0.0476;0.952400000000001
0.0476;0.952400000000001
0.0572;0.942800000000001
0.0568;0.943200000000001
0.0544;0.9456
0.056;0.944000000000001
0.052;0.948
0.0528;0.947200000000001
0.052;0.948000000000001
0.0568;0.943200000000001
0.0596;0.940400000000001
0.052;0.948000000000001
0.048;0.952000000000001
0.0568;0.943200000000001
0.054;0.946000000000001
0.054;0.946000000000001
0.06;0.940000000000001
0.0488;0.951200000000001
0.0548;0.945200000000001
0.0556;0.944400000000001
0.0548;0.945200000000001
0.0568;0.943200000000001
0.0532;0.946800000000001
0.0544;0.945600000000001
0.056;0.944000000000001
0.0524;0.947600000000001
0.0528;0.947200000000001
0.0596;0.940400000000001
0.0604;0.939600000000001
0.0504;0.949600000000001
0.0544;0.945600000000001
0.0552;0.944800000000001
0.0516;0.9484
0.0584;0.941600000000001
0.0552;0.944800000000001
0.0552;0.944800000000001
0.0624;0.937600000000001
0.056;0.944000000000001
0.0524;0.947600000000001
0.062;0.938000000000001
0.054;0.946000000000001
0.062;0.938000000000001
0.0548;0.9452
0.06;0.940000000000001
0.05;0.950000000000001
0.0568;0.9432
0.0576;0.942400000000001
0.0572;0.942800000000001
0.0552;0.944800000000001
0.0596;0.940400000000001
0.0532;0.946800000000001
0.0568;0.943200000000001
0.0612;0.938800000000001
0.0596;0.940400000000001
0.052;0.948000000000001
0.0572;0.942800000000001
0.0576;0.942400000000001
0.0552;0.944800000000001
0.0588;0.941200000000001
0.0624;0.937600000000001
0.0528;0.947200000000001
0.0512;0.948800000000001
0.0504;0.949600000000001
0.0504;0.949600000000001
0.0588;0.941200000000001
0.0584;0.941600000000001
0.0512;0.948800000000001
0.0556;0.944400000000001
0.0516;0.948400000000001
0.056;0.944000000000001
0.0532;0.946800000000001
0.0612;0.938800000000001
0.0516;0.948400000000001
0.0628;0.937200000000001
0.0584;0.941600000000001
0.0552;0.944800000000001
0.054;0.946000000000001
0.052;0.948000000000001
0.0536;0.946400000000001
0.0556;0.944400000000001
0.0548;0.945200000000001
0.0592;0.940800000000001
0.0516;0.948400000000001
0.0552;0.944800000000001
0.0576;0.942400000000001
0.0532;0.946800000000001
0.0568;0.9432
0.0508;0.949200000000001
0.058;0.942000000000001
0.0564;0.943600000000001
0.0536;0.946400000000001
0.0464;0.953600000000001
0.0504;0.949600000000001
0.05;0.950000000000001
0.054;0.946000000000001
0.0588;0.941200000000001
0.0608;0.939200000000001
0.0608;0.939200000000001
0.0568;0.943200000000001
0.0528;0.947200000000001
0.0504;0.949600000000001
0.0548;0.945200000000001
0.0556;0.944400000000001
0.064;0.936000000000001
0.0592;0.940800000000001
0.0536;0.946400000000001
0.058;0.942000000000001
0.0576;0.942400000000001
0.0552;0.944800000000001
0.0588;0.941200000000001
0.058;0.942000000000001
0.0588;0.941200000000001
0.0496;0.950400000000001
0.058;0.942000000000001
0.0556;0.944400000000001
0.0596;0.940400000000001
0.0596;0.940400000000001
0.0516;0.948400000000001
0.0548;0.945200000000001
0.0588;0.941200000000001
0.0616;0.938400000000001
0.0592;0.940800000000001
0.0572;0.942800000000001
0.0644;0.935600000000001
0.0476;0.952400000000001
0.0568;0.9432
0.054;0.946000000000001
0.064;0.936000000000001
0.0552;0.944800000000001
0.052;0.948000000000001
0.0588;0.941200000000001
0.0496;0.950400000000001
0.056;0.944000000000001
0.0532;0.946800000000001
0.0552;0.944800000000001
0.0576;0.942400000000001
0.0584;0.941600000000001
0.0584;0.941600000000001
0.058;0.942000000000001
0.0556;0.944400000000001
0.0524;0.947600000000001
0.0532;0.946800000000001
0.0508;0.949200000000001
0.056;0.944000000000001
0.0536;0.946400000000001
0.0568;0.9432
0.0596;0.940400000000001
0.0552;0.944800000000001
0.06;0.940000000000001
0.0608;0.939200000000001
0.0552;0.944800000000001
0.056;0.944000000000001
0.0608;0.939200000000001
0.0536;0.946400000000001
0.0524;0.947600000000001
0.0516;0.948400000000001
0.0576;0.942400000000001
0.0508;0.949200000000001
0.058;0.942000000000001
0.0512;0.948800000000001
0.0516;0.948400000000001
0.0628;0.937200000000001
0.054;0.946000000000001
0.0512;0.948800000000001
0.0568;0.943200000000001
0.0532;0.946800000000001
0.0516;0.948400000000001
0.0508;0.949200000000001
0.062;0.938000000000001
0.0548;0.945200000000001
0.0492;0.950800000000001
0.0552;0.944800000000001
0.0544;0.945600000000001
0.0536;0.946400000000001
0.0576;0.942400000000001
0.0564;0.943600000000001
0.0556;0.944400000000001
0.0516;0.948400000000001
0.0516;0.948400000000001
0.0552;0.944800000000001
0.058;0.942000000000001
0.052;0.948000000000001
0.0556;0.944400000000001
0.0584;0.9416
0.0592;0.940800000000001
0.0532;0.946800000000001
0.0584;0.9416
0.0608;0.939200000000001
0.056;0.944000000000001
0.0624;0.937600000000001
0.058;0.942000000000001
0.0548;0.945200000000001
0.0512;0.948800000000001
0.0536;0.946400000000001
0.0572;0.942800000000001
0.0492;0.950800000000001
0.0572;0.942800000000001
0.0552;0.944800000000001
0.0536;0.946400000000001
0.0588;0.941200000000001
0.0524;0.947600000000001
0.062;0.938000000000001
0.0536;0.946400000000001
0.0528;0.947200000000001
0.0536;0.946400000000001
0.0532;0.946800000000001
0.0532;0.946800000000001
0.0536;0.946400000000001
0.0588;0.9412
0.064;0.936000000000001
0.0572;0.942800000000001
0.0572;0.942800000000001
0.0556;0.944400000000001
0.0576;0.942400000000001
0.0524;0.947600000000001
0.054;0.946000000000001
0.0532;0.946800000000001
0.0564;0.943600000000001
0.0528;0.947200000000001
0.054;0.946000000000001
0.0596;0.940400000000001
0.0528;0.9472
0.056;0.944000000000001
0.0588;0.941200000000001
0.0548;0.945200000000001
0.06;0.940000000000001
0.0572;0.942800000000001
0.0564;0.943600000000001
0.0512;0.948800000000001
0.0544;0.945600000000001
0.0508;0.949200000000001
0.0536;0.946400000000001
0.0552;0.944800000000001
0.0596;0.940400000000001
0.0564;0.943600000000001
0.0592;0.940800000000001
0.0536;0.946400000000001
0.0628;0.937200000000001
0.0588;0.941200000000001
0.0516;0.948400000000001
0.058;0.942000000000001
0.0544;0.945600000000001
0.058;0.942000000000001
0.0524;0.947600000000001
0.0552;0.944800000000001
0.0596;0.940400000000001
0.0556;0.944400000000001
0.0544;0.945600000000001
0.0608;0.939200000000001
0.0552;0.944800000000001
0.0596;0.940400000000001
0.0628;0.937200000000001
0.06;0.940000000000001
0.0536;0.946400000000001
0.0564;0.943600000000001
0.0588;0.941200000000001
0.0552;0.944800000000001
0.0604;0.939600000000001
0.0572;0.942800000000001
0.0508;0.949200000000001
0.052;0.948000000000001
0.056;0.944000000000001
0.0568;0.943200000000001
0.0564;0.9436
0.0524;0.947600000000001
0.0584;0.941600000000001
0.0596;0.940400000000001
0.0536;0.946400000000001
0.0588;0.941200000000001
0.0572;0.942800000000001
0.0628;0.937200000000001
0.06;0.940000000000001
0.0564;0.943600000000001
0.0648;0.935200000000001
0.0616;0.938400000000001
0.0616;0.938400000000001
0.0628;0.937200000000001
0.0552;0.944800000000001
0.0604;0.939600000000001
0.0516;0.948400000000001
0.0612;0.938800000000001
0.0588;0.941200000000001
0.0612;0.938800000000001
0.0576;0.942400000000001
0.0544;0.945600000000001
0.0588;0.941200000000001
0.0568;0.943200000000001
0.054;0.946000000000001
0.0608;0.939200000000001
0.0584;0.941600000000001
0.0544;0.945600000000001
0.0548;0.945200000000001
0.0556;0.944400000000001
0.0548;0.945200000000001
0.0524;0.947600000000001
