action = 0;action = 90;action = 180;action = 270
-76.0000;-31.6901;38.8889;-14.8673
-52.0325;-27.9514;33.4395;-23.1193
-137.6000;-40.5872;29.5436;-24.6801
-81.9549;-60.4982;30.5994;3.7244
-80.1724;6.5487;35.6522;-25.0903
-85.0467;-3.9216;33.3851;-3.1250
-102.6316;-1.7123;38.5523;-1.5066
-121.7742;-9.4139;35.5469;-3.1895
-144.4444;-5.6159;29.0598;14.4665
-36.2832;11.0721;36.5055;1.4925
-108.1081;2.3551;42.8682;-2.5594
-153.8462;-14.9550;48.8957;0.0000
-28.8288;-23.2925;45.8878;8.5106
-42.2414;-0.1751;50.0000;-0.3724
-77.1186;12.9496;39.8305;-4.1667
-84.9558;10.3261;31.6193;-21.9925
-120.0000;-20.0000;34.9962;-17.8571
-89.0625;-7.7634;32.5670;1.7110
-99.1379;19.0566;34.6535;-11.8299
-102.9126;-5.1625;41.2340;-6.9725
-22.2222;-1.1029;38.1459;-9.5865
-73.6842;-3.1895;40.8781;-21.9925
-37.5000;2.6365;34.1168;-13.7931
-106.9307;-20.8566;38.1095;-26.8431
-74.6032;-16.7598;40.4959;-34.7826
-74.7664;-5.4511;39.7147;-28.9225
-102.6316;-5.6497;28.8187;-6.6540
-104.1237;-14.2077;38.7970;-13.3588
-126.4706;-7.2125;32.5511;-10.0000
-85.0467;-0.1859;39.0719;-16.5703
-90.3846;-6.8345;31.2500;22.6563
-138.1443;-8.3333;33.1583;2.5830
-41.2844;-11.2360;34.7107;1.7110
-75.2212;0.1890;30.9902;-11.0280
-61.7647;-16.0075;30.0673;-10.0000
-69.2308;-6.6540;35.6822;-14.9254
-4.2105;-16.1111;38.5196;-19.9630
-95.7627;-11.4723;36.6018;7.4570
-138.6792;-15.9004;38.7982;-21.7557
-101.6667;8.1553;43.7594;-15.1402
-92.9825;-25.2372;42.4514;11.3244
-98.1982;-9.1760;43.8438;-5.1625
-96.4286;-5.3892;44.9595;0.0000
-157.2581;13.8554;39.7483;3.9848
-66.6667;7.4570;33.9021;8.6792
-37.5000;2.6923;36.2082;0.0000
-66.0377;0.0000;50.9819;2.5830
-41.9355;32.1495;42.4041;4.0698
-93.4066;-6.7164;47.5410;0.5650
-29.4118;-3.9698;40.7629;-9.5865
-55.6604;-6.2500;32.8676;2.1739
-26.9231;3.5448;27.4277;5.2838
-66.6667;6.7797;43.8609;6.5637
-87.0000;-7.5188;40.7186;0.7519
-151.6949;-26.3653;38.9793;-1.4028
-85.1485;-0.1938;33.2346;4.8872
-28.1553;-6.7961;41.3768;-3.5782
-58.7629;-22.4609;31.8016;13.2692
-69.2308;-19.4757;38.5746;-13.4241
-83.3333;-1.8904;37.6748;-20.0397
-27.6786;-33.9882;19.6903;-17.7820
-96.4286;-10.0000;34.5815;19.5652
-158.8235;3.7244;45.0000;8.3333
-68.4685;-17.2481;26.6667;-9.3690
-120.0000;-18.6898;37.0968;-19.1489
-49.1525;-10.4331;30.3900;-6.7961
-129.6703;-3.8536;19.5716;-0.5597
-166.3158;-26.2646;29.2398;-13.5755
-83.3333;-9.5703;28.0147;-15.5642
-32.0000;-12.7660;32.9662;-14.0115
-58.6538;13.4357;39.1144;2.6923
-16.8142;-8.9109;41.6848;1.9802
-79.3478;-8.5106;31.5485;-8.0550
-41.5842;-7.2658;36.2436;-22.2222
-102.6316;-10.0000;31.2000;-29.1585
-74.2574;-29.4118;33.9194;-28.0534
-44.2623;-20.5769;37.5653;-42.0039
-146.9388;-22.6923;21.7742;-27.4131
-34.9057;-10.4247;31.5018;-33.4638
-64.4860;-8.4813;23.6669;2.1277
-110.1124;-33.9483;40.3226;-28.5149
-78.0952;-40.8663;42.9094;-15.3226
-52.1277;-13.7931;30.5595;-27.9592
-157.0093;-17.3913;32.1586;-25.7143
-106.9307;-15.5642;31.4516;-24.5681
-86.7925;-17.8571;35.5748;-1.9724
-41.0256;11.4943;35.7664;-5.2953
-94.7917;-8.0550;40.9449;-1.6064
-53.7634;10.6383;37.3016;1.7857
-164.8148;5.0980;45.5914;-12.9363
-73.6842;-8.5106;36.5079;3.5857
-70.8738;-10.6262;44.0407;-15.7895
-146.7290;-11.4723;40.0000;-17.7778
-107.0588;-12.5984;43.2258;-9.5703
-58.8889;0.8016;38.8453;-12.5984
-108.4211;-18.0077;42.8983;-4.2339
-43.0000;-15.7895;42.0635;-3.1936
-97.4359;-22.9412;45.5208;16.4000
-48.9583;-24.3665;49.0378;3.0738
-124.2718;-24.8532;39.1523;-6.8826
-85.0467;-28.6290;36.3117;-10.4418
-111.5385;-33.6653;37.5000;-4.1152
-38.9474;-58.9844;35.4770;1.0460
-134.0426;-67.5781;33.2620;-0.4057
-100.9615;-17.0683;34.1880;-33.6032
-81.6514;-29.5409;36.3117;-20.9776
-55.4348;-12.3772;33.4520;-42.5101
-86.7925;-21.4724;39.0603;-7.9332
-69.2308;-17.7778;35.5681;-15.9091
-111.5385;-26.3048;47.8018;-34.0909
-105.6075;-17.6238;43.5699;-20.6452
-93.4066;-12.9979;34.3967;-14.4898
-91.3043;-21.9713;38.8459;-15.3040
-65.5914;-7.7551;38.7613;-28.3333
-124.4898;-26.4887;41.0987;-12.9979
-81.7391;-14.6809;42.9173;-30.4703
-75.5319;-16.7347;39.4847;-14.5833
-48.9583;-8.8660;42.1453;-29.9578
-134.9515;-11.1340;20.9902;-10.4603
-58.7629;-19.6653;17.1548;-32.1792
-113.5922;-7.7551;11.7237;-11.3924
-77.4194;-16.0338;14.2759;-32.0911
-181.7073;-4.5455;14.3939;-18.6722
-70.1031;-18.6722;15.0904;-36.6460
-47.4227;-32.9918;32.7004;-20.4868
-89.2473;0.0000;36.2430;-23.7500
-177.7778;39.1489;31.0105;-8.6694
-134.2593;-7.7083;29.7222;-2.5424
-103.2609;0.4115;21.4286;-14.5833
-160.2151;-28.3333;30.3308;-26.0870
-125.0000;-10.4603;33.1953;-31.5464
-102.2989;4.8523;42.9066;-18.0162
-211.1111;15.5650;48.2711;-22.2222
-141.7582;19.3966;37.1856;14.1350
-231.0680;22.8070;45.5224;10.4925
-131.5789;4.3478;33.2196;-13.4737
-175.0000;-4.2105;34.9422;-12.3404
-112.5000;-6.3025;37.3134;-30.9524
-161.9048;-11.1579;36.9283;-13.2353
-144.4444;-9.7665;37.0572;-0.8333
-147.8873;-4.9793;20.2034;-16.5254
-76.0000;0.8584;34.2070;-16.7728
-97.0149;-8.8660;38.5140;-9.7713
-180.0000;6.4315;37.6939;-0.8333
-92.5000;-6.5263;45.6246;14.0625
-184.7059;1.0460;46.0490;13.2196
-140.6250;-2.5424;40.6000;9.9138
-74.3902;-7.0393;40.0000;-7.5556
-57.1429;30.3797;35.5556;-25.6466
-109.5238;4.0426;31.3883;-28.1319
-129.1667;-3.1250;30.9285;-29.2683
-110.2941;7.7568;21.0106;-7.3171
-175.0000;0.2016;37.0794;-6.0538
-186.9565;19.9584;30.4724;-20.5817
-218.4211;-17.3640;43.2451;-18.6047
-122.4719;-8.1590;33.5570;0.6772
-51.2500;-11.8257;47.4781;-7.3171
-182.0513;3.7500;50.8667;2.9412
-167.5676;15.7447;45.0366;3.2967
-120.0000;2.3810;44.8529;4.4492
-160.5263;14.4444;41.6446;-6.2232
-141.0959;12.0950;52.3333;5.1724
-83.3333;10.3004;43.6085;-0.4348
-171.0145;15.3846;41.3430;-6.5315
-123.1884;-2.6030;43.4037;-6.6079
-141.0959;3.0837;42.2193;-7.5556
-238.4615;-27.0153;37.8449;-11.4537
-175.0000;2.2222;29.6937;-6.3025
-76.0000;1.5284;34.6103;-4.4150
-61.3333;-24.6187;24.7368;-10.9865
-62.2951;-17.7730;25.1309;5.8559
-152.7027;-48.2609;24.1628;-24.1535
-194.6429;-24.7899;31.0705;-3.4404
-253.0864;-23.0263;31.5652;-11.0092
-140.2299;5.2980;37.2047;-3.4404
-86.1538;-6.6079;42.3707;-16.2996
-80.5970;-6.6079;42.5587;-18.1208
-139.1304;-0.6536;38.2507;17.5000
-163.3803;-2.1097;41.4586;-9.2379
-39.4366;-2.1598;47.5849;3.6866
-94.1176;6.5359;40.5599;11.8993
-41.4286;-5.8166;40.9444;-15.7895
-123.4375;-5.4466;45.2521;-24.6667
-28.5714;-20.8791;34.7883;-42.2633
-144.4444;-3.9560;34.2857;-24.5283
-188.5246;-16.6667;39.2857;6.8650
-161.2500;-17.4292;48.8874;-14.3187
-222.6667;-9.0090;47.2114;-15.2620
-166.1290;-14.7826;43.4980;-40.0000
-142.8571;-4.8780;47.8571;-34.9537
-156.1644;-16.1638;52.8877;0.9479
-83.3333;-10.9649;47.5853;-11.2941
-102.6316;-17.0732;49.5743;-10.9865
-114.2857;-46.8271;52.4823;-0.7229
-164.0000;-33.7838;44.1517;-24.2353
-107.2464;-16.7043;45.9477;-12.3515
-166.1290;-21.1454;45.3155;1.9277
-209.3750;4.0268;46.2033;-51.7241
-151.4286;-29.9781;40.3871;-30.0236
-149.3333;-11.6998;40.9061;-28.8056
-113.4328;-54.3860;47.5515;-6.1176
-157.8125;-27.6786;44.2949;-33.6449
-246.2963;-21.1663;40.2329;1.8307
-129.8507;-33.9130;46.2725;2.3981
-46.6667;-6.1404;48.3601;-20.5128
-83.3333;-28.1319;42.2165;-23.6842
-37.5000;-31.1258;43.7340;-36.5155
-277.6119;-2.9680;37.1029;-12.3515
-103.7037;-15.5361;36.2420;-15.5131
-209.8592;-3.8202;36.3753;-20.7944
-149.3333;-31.7073;35.2523;-23.3645
-153.8462;-18.0365;45.2457;-38.1395
-161.9048;-12.5000;46.6156;-27.6102
-212.1622;-8.0357;45.9477;-39.1727
-80.8219;20.3947;42.1424;-38.8350
-226.5625;21.4286;44.8604;-6.7961
-160.5263;-11.7381;49.3930;-16.3462
-281.3333;21.0762;51.6868;-2.4510
-130.6452;-8.2380;47.1221;-10.0000
-160.5263;1.1236;42.1420;-28.9277
-237.3333;-9.0090;30.5117;-40.9548
-150.0000;-12.5000;39.8869;-25.8706
-47.7612;-34.7921;40.7102;-29.5739
-166.1290;-30.2632;42.8028;-30.3704
-107.5472;-30.5936;44.3473;-21.3235
-223.5294;-34.9537;37.1231;-10.5392
-167.5676;-21.3964;42.3940;3.9683
-72.8571;-48.1735;43.1632;-19.5062
-214.2857;-40.4255;42.0690;11.8932
-162.6866;-42.5926;48.4053;-34.0796
-140.0000;-34.3891;53.1915;-8.6420
-170.7692;-25.0580;44.1729;-15.9314
-108.6207;-30.0000;50.9294;-2.0619
-150.0000;-12.6190;51.7603;-16.9620
-91.3043;-15.7895;45.7891;-29.4118
-143.0233;-34.8558;46.6086;9.9744
-80.5970;-30.0236;42.5373;-9.4527
-178.6667;-34.9057;38.6997;5.9585
-171.0145;-15.1163;39.5755;-29.5739
-3.1250;-30.1624;42.3551;-26.3708
-71.8750;-30.4251;52.5921;-33.2474
-132.3944;-27.4232;50.1242;-2.7778
-244.7761;-20.1900;43.7305;5.8680
-74.3902;-48.4337;43.9403;-14.4670
-146.2687;-9.7324;33.7838;-14.4670
-103.7037;-21.0526;41.9975;-10.2828
-149.3333;-1.7032;45.0678;-23.4694
-132.3944;-8.1081;44.6965;-32.2251
-175.0000;-5.1471;43.0684;-22.2222
-147.5000;-20.0508;40.1361;-47.9218
-175.0000;-41.2346;29.1202;-46.6667
-166.1290;-26.8170;27.7372;-47.5949
-252.0000;-21.3033;35.9356;-38.8350
-237.3333;-21.5938;33.9056;-38.5185
-209.3750;-23.4146;35.7714;-26.8170
-204.2553;-55.9902;38.5135;-37.5000
-190.2778;-10.8108;42.8925;7.1960
-266.6667;-20.1456;39.7167;-0.2532
-142.0000;-8.9372;39.8649;-50.9804
-14.9254;-49.6420;40.9988;-3.8265
-130.6452;-16.9082;41.7129;-37.1571
-108.6207;-20.6983;31.3774;-6.8720
-137.2549;-33.2542;39.0018;-3.2099
-194.3662;-17.0792;34.4595;-19.1436
-83.3333;-33.4158;29.9020;-25.2475
-128.3019;-22.2222;37.7231;-10.5392
-200.0000;-31.6901;40.9259;-36.0825
-110.2941;-47.0167;36.6955;-5.2897
-200.0000;-51.1848;33.4568;-3.8265
-126.4706;-38.1773;30.2340;-12.1891
-175.0000;-60.9756;38.7376;-6.2802
-123.7288;-42.9234;45.7460;-19.0722
-188.5246;-28.6396;53.1481;6.5000
-224.5902;-8.9372;53.3210;-10.2757
-49.1525;-15.7895;45.2366;5.5556
-112.2807;-33.6449;47.4265;-0.5222
