action = 0;action = 180
-331.0811;73.8095
-368.9922;69.3800
-314.4928;72.0576
-297.2222;71.9864
-330.0752;69.7930
-264.0845;72.9432
-341.7323;72.1871
-226.2069;71.5074
-297.8723;69.2242
-359.7015;74.4294
-298.2759;67.7013
-319.0476;68.0286
-296.0000;65.7263
-331.8519;71.6279
-289.1156;72.4182
-341.4474;77.0443
-298.0263;73.7649
-302.8169;67.3452
-275.0000;67.9476
-284.1270;68.4920
-269.3431;66.9488
-351.0791;71.1139
-305.6250;73.2051
-293.9189;67.7296
-376.1194;67.4556
-362.7586;74.3100
-312.5000;72.4533
-266.6667;70.6605
-304.0816;68.2108
-233.7931;66.3694
-311.5646;72.4182
-272.5806;69.9074
-279.3103;74.3100
-311.5108;71.5798
-269.1275;69.5874
-254.3624;71.9268
-394.5736;72.6276
-341.6058;75.3280
-311.5646;70.5482
-321.4286;75.6181
-316.2162;74.2772
-300.0000;75.2652
-296.2733;71.3125
-251.2605;63.0407
-380.2817;73.4097
-372.5926;68.3721
-340.0000;75.5556
-362.3188;70.6605
-365.3846;69.8312
-348.9796;71.9507
-272.5806;64.8148
-332.1429;66.9068
-296.9925;66.0752
-306.5217;68.3319
-312.5000;75.7216
-284.2466;68.6916
-261.6438;70.0935
-309.6552;69.1720
-422.3022;70.1821
-294.6565;71.2115
-296.9925;72.1166
-315.7480;71.2600
-308.5714;73.4322
-318.6567;73.4996
-302.8169;76.6751
-306.0403;73.3305
-306.5217;70.1948
-266.6667;72.3830
-319.7368;77.5128
-362.3188;69.7290
-214.2857;71.1017
-283.5526;76.5758
-302.2388;73.0347
-210.6870;67.4968
-292.2481;70.7718
-205.5556;72.4533
-289.7638;72.6507
-264.1379;71.0403
-278.1250;66.6105
-275.1938;69.8439
-243.3121;76.5258
-217.7778;69.7674
-329.6875;72.1754
-287.3239;73.4097
-263.9098;77.2286
-283.7209;71.2358
-324.4094;73.5777
-269.0323;74.2004
-309.4891;73.4659
-302.4390;73.1594
-218.8406;70.1948
-247.7941;72.5465
-236.5672;75.3593
-281.9444;70.5857
-290.0709;75.2861
-264.0288;76.7048
-275.1938;68.9161
-317.8295;73.5555
-234.7826;72.9890
-264.1379;75.2442
-297.6923;74.4726
-279.8561;72.5116
-239.0411;73.8318
-279.0541;78.9541
-164.6617;68.8635
-261.6438;72.8972
-319.7368;78.4497
-292.8571;72.5000
-280.7692;72.7816
-241.3793;69.1720
-221.1679;70.2074
-278.1250;72.1754
-252.9851;75.8242
-253.8462;71.9983
-293.4959;72.2339
-315.3846;77.1319
-274.6377;72.0576
-318.6567;73.0347
-296.5986;75.6906
-311.4504;75.3905
-276.1290;78.4222
-195.5224;74.8943
-291.6667;78.6318
-252.9851;73.9645
-338.3459;75.3697
-272.1805;69.3283
-269.4030;70.7101
-244.2177;72.8857
-236.8750;76.9658
-246.1538;74.7985
-307.6923;73.3984
-248.2014;72.9776
-259.0278;76.6553
-235.8779;71.2115
-266.6667;77.2093
-239.0977;77.2286
-313.4752;77.1513
-241.6667;73.0574
-242.2222;75.3488
-276.5101;73.7984
-258.3333;68.8767
-230.0000;72.5000
-281.6327;74.7556
-333.5766;75.3280
-281.3333;73.7872
-276.9231;73.8651
-258.8652;71.5557
-278.1250;72.6391
-272.0588;72.5465
-272.4409;72.1871
-269.4030;71.1750
-242.7536;67.8662
-298.6577;76.6057
-352.4823;74.8198
-308.7838;77.5510
-228.3582;71.1750
-264.3312;75.1174
-251.7007;75.6906
-258.1395;69.8439
-286.8966;76.6454
-328.6765;76.2690
-324.8276;77.1125
-303.0534;71.6758
-290.5797;75.3175
-306.0403;72.3947
-271.9424;73.4435
-280.1471;72.5465
-203.9474;73.7649
-282.6087;71.1262
-306.0403;72.3947
-306.3694;75.1174
-244.6667;75.6596
-228.3582;74.4294
-282.2695;70.1568
-348.9796;76.6256
-218.8406;70.6605
-264.2384;76.1175
-246.1538;75.7319
-281.1024;74.9684
-246.9231;70.2954
-285.0000;72.0339
-287.3239;72.0102
-266.6667;74.3535
-286.2595;73.5331
-246.5753;74.2991
-335.5705;75.2020
-318.6567;74.8943
-274.1497;77.5606
-300.0000;75.2652
-208.2803;73.2394
-281.3333;76.5957
-251.0638;73.4209
-314.1975;76.9461
-257.1429;76.5558
-292.8571;76.0870
-320.3822;72.7700
-234.7826;71.1262
-264.2384;73.3078
-241.0853;77.7309
-259.4771;76.0971
-184.3537;73.8207
-237.9085;77.0345
-236.1111;75.2547
-247.7941;73.0118
-326.5306;78.9630
-240.8451;71.0772
-266.6667;73.4884
-247.3684;79.8552
-223.9726;75.2336
-263.9706;73.9425
-269.3431;75.3280
-256.1151;76.2389
-181.0219;73.9314
-227.4809;72.1401
-251.3889;78.5229
-263.9706;75.8037
-252.2876;77.5032
-298.5507;78.1118
-266.6667;74.8837
-241.3793;73.3758
-259.4771;76.5658
-266.6667;76.6553
-274.3056;77.5891
-219.8582;74.3535
-284.1270;72.1988
-225.0000;73.5220
-240.2878;73.9094
-215.4412;75.8037
-221.5385;74.4726
-295.4248;78.9092
-271.9424;73.4435
-294.4828;73.3758
-253.2847;72.0694
-274.8148;73.0233
-252.0000;77.0638
-228.4722;73.3871
-228.4722;74.7878
-256.1151;75.3071
-282.9630;71.6279
-268.9873;76.9855
-258.8652;77.1513
-253.2847;75.7935
-232.2148;78.9451
-181.0219;77.1900
-249.6689;75.6492
-296.0000;76.3789
-259.3333;79.8723
-224.0310;78.6588
-192.8058;73.9094
-256.3380;77.1416
-266.6667;76.7442
-316.4286;81.8220
-287.7698;78.1025
-253.5714;72.5000
-334.0136;78.9630
-277.1429;77.6271
-275.3968;72.6622
-258.3333;74.9155
-246.9799;78.0094
-212.2581;76.0768
-256.1151;75.3071
-242.2222;73.0233
-259.3333;75.1915
-282.6087;76.2489
-224.4604;74.3753
-319.4245;77.1707
-243.2624;72.9546
-258.6957;70.1948
-227.6596;69.2242
-326.0563;76.2087
-302.8169;74.8092
-302.0690;77.5796
-301.9231;75.1280
-193.3333;66.7227
-224.3590;74.1894
-266.6667;75.6596
-220.5298;76.1175
-279.0541;78.9541
-187.9195;74.7342
-266.6667;76.7442
-253.5714;72.0339
-257.3248;79.8122
-258.1395;73.5555
-219.8582;72.0220
-236.5672;75.3593
-213.2450;76.5858
-211.0345;74.7771
-232.2148;77.0736
-263.9098;74.9049
-255.8824;71.6159
-209.8592;74.3427
-318.0000;77.5319
-243.7500;74.3209
-309.4891;75.3280
-277.3723;73.9314
-215.2866;79.8122
-258.8652;79.4828
-246.9799;79.8809
-229.1971;78.5865
-264.2384;77.9906
-302.4390;73.1594
-304.8611;76.1885
-269.3431;70.6729
-256.3380;77.1416
-232.2148;71.9268
-320.1389;77.1222
-219.0840;73.5331
-252.8302;78.8552
-213.2450;76.1175
-269.1781;78.5047
-319.0476;77.7591
-289.5833;80.8574
-212.0567;77.6176
-238.4615;79.3515
-230.7692;76.1986
-218.8406;78.5775
-219.1358;76.9461
-285.4015;77.1900
-182.8571;75.7627
-242.7536;76.7146
-198.7654;77.4166
-290.5797;74.8518
-230.8271;76.2991
-214.2857;76.2991
-283.3333;76.7736
-191.6667;73.5220
-261.5385;76.1986
-241.8919;78.4864
-287.3239;81.3401
-198.5714;76.2288
-188.6525;79.0165
-254.8387;79.3603
-210.8696;72.5233
-285.8209;74.4294
-287.3239;78.5411
-274.4681;75.2861
-271.9424;78.1025
-226.8116;79.0432
-254.3624;78.9451
-165.5172;72.9087
-229.2994;77.4648
-288.7218;76.2991
-289.5833;76.6553
-214.2857;73.3532
-258.8652;79.0165
-210.0671;74.2663
-276.7123;76.6355
-271.6216;76.6156
-241.3793;74.7771
-251.7007;78.4955
-213.1944;75.7216
-256.9536;78.4589
-248.5915;78.5411
-324.8276;79.4480
-277.3723;75.3280
-230.0000;78.9362
-212.1622;72.4065
-210.0671;78.4772
-171.3333;79.4043
-277.3723;77.6555
-239.0977;75.3697
-255.8824;80.9222
-164.2857;76.5558
-266.6667;78.1118
-225.3521;75.2757
-162.6866;73.4996
-239.5973;80.3488
-175.0000;74.7449
